State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Ladakh,Leh,Durbugh,Shachukul,1393016,J&K Bank,Shachukul,2020-11-03 13:02:45.787,Transport/Admin,Bank,33.99059918,78.10797804
Ladakh,Leh,Durbugh,Shachukul,1393016,Panchayat Headquarter,Shachukul,2020-11-03 13:03:37.457,Transport/Admin,Panchayat Headquarter,33.99048699,78.10801577
Ladakh,Leh,Durbugh,Shachukul,1393016,Ration store,Shachukul,2020-11-03 13:02:00.927,Agro ,Warehouse,33.9917126,78.10449368
Ladakh,Leh,Kharu,Meroo,1393084,bus stand,meeru,2020-11-09 20:50:22.913,Transport/Admin,Bus Stand,33.74035657,77.75583562
Ladakh,Leh,Nyoma,Nyoma,1393199,Panchayat halqa,Nyoma,2020-11-02 14:10:40.567,Transport/Admin,Panchayat Headquarter,33.20496333,78.65308265
Ladakh,Leh,Nyoma,Nyoma,1393199,veterinary,nyoma,2020-11-02 14:21:50.423,Medical ,Veterinary Hospital,33.20514618,78.64939694
Ladakh,Leh,Nyoma,Nyoma,1393199,Ration store,Nyoma,2020-11-02 14:10:10.677,Agro ,Warehouse,33.20160625,78.64071207
Ladakh,Leh,Nyoma,Nyoma,1393199,Bank,Nyoma,2020-11-02 14:09:56.253,Transport/Admin,Bank,33.20105768,78.64148672
Ladakh,Leh,Nyoma,Nyoma,1393199,Higher secondary,Nyoma,2020-11-02 14:10:53.910,Education ,Higher Secondary School,33.20344054,78.62684043
Ladakh,Kargil,Drass,Ulbearas,1393233,Potato Farm,NH 1D,2020-10-02 11:03:02.777,Agro ,Agro Industry,34.41141826,75.69992853
Ladakh,Kargil,Sankoo,Thasgam,1393301,Service coorperative society,thasgam,2020-10-04 11:59:02.907,Transport/Admin,Bank,34.27890719,75.9797121
Ladakh,Kargil,Sankoo,Thasgam,1393301,Govt high school,thasgam,2020-10-04 11:57:41.150,Education ,High School - General,34.27788405,75.97956624
Ladakh,Kargil,Shakar Chiktan,Shakar Mohalla,1393348,HALQAA PANCHAYAT SHAKAR DO,SHAKAR DO,2020-12-20 09:57:39.347,Transport/Admin,Block Headquarter,34.51123457,76.49427969
Ladakh,Kargil,Shargole,Shargole,1393382,Block development officer,shargole,2020-10-20 18:49:41.260,Transport/Admin,Block Headquarter,34.403429283691,76.296953926557
Ladakh,Kargil,Shargole,Shargole,1393382,Bus Stop shargole,Shargole,2020-11-26 14:50:33.967,Transport/Admin,Bus Stand,34.394776666667,76.310341666667
Ladakh,Kargil,Shargole,Shargole,1393382,sale centre,darchok shargole,2020-10-06 21:56:25.380,Agro ,Collection Centre or Pack House,34.403636885567,76.295824636536
Ladakh,Kargil,Shargole,Shargole,1393382,food and supply store,shargole,2020-10-06 21:57:29.127,Agro ,Warehouse,34.39350646979,76.298607303153
Ladakh,Kargil,Shargole,Shargole,1393382,Block HQ,Shargole,2020-11-26 14:53:01.713,Transport/Admin,Block Headquarter,34.403428333333,76.296596666667
Ladakh,Kargil,Shargole,Shargole,1393382,Block Veterinary Office,Shargol,2020-11-26 14:41:52.370,Medical ,Veterinary Hospital,34.394191666667,76.311821666667
Ladakh,Kargil,Shargole,Shargole,1393382,PANCHAYAT Headquaters,shargole,2020-10-06 21:59:02.587,Transport/Admin,Panchayat Headquarter,34.393472513975,76.313443569464
Ladakh,Kargil,Shargole,Shargole,1393382,PHC,shargole,2020-10-06 21:55:59.387,Medical ,Primary Health Centre,34.393433426311,76.299135469112
Ladakh,Kargil,Shargole,Shargole,1393382,bus stop,shargole,2020-10-06 22:00:36.897,Transport/Admin,Bus Stand,34.395070460072,76.310252081251
Ladakh,Kargil,Shargole,Shargole,1393382,State bank of india,shargole,2020-10-20 18:50:02.917,Transport/Admin,Bank,34.395670998181,76.300599850805
Ladakh,Kargil,Shargole,Shargole,1393382,Bus Stand Shargole,Shargole,2020-11-26 14:46:33.107,Transport/Admin,Bus Stand,34.395003333333,76.310655
Ladakh,Kargil,Shargole,Shargole,1393382,higher secondary school,shargole,2020-10-06 21:57:46.977,Education ,Higher Secondary School,34.395693463228,76.309364144319
Ladakh,Leh,Durbugh,Chilam,1393013,Ration Store,Chilam,2020-11-03 13:08:25.757,Agro ,Warehouse,33.98535239,78.17237599
Ladakh,Leh,Khalsti,GeramanGu,1393027,bus stand,mangu,2020-11-16 11:11:53.650,Transport/Admin,Bus Stand,34.23342,77.049333333333
Ladakh,Leh,Khalsti,GeramanGu,1393027,warehouse,mangu,2020-11-16 11:09:25.340,Agro ,Warehouse,34.233568333333,77.048776666667
Ladakh,Leh,Khalsti,GeramanGu,1393027,bus stop,gera,2020-11-16 11:13:40.530,Transport/Admin,Bus Stand,34.250048333333,77.080828333333
Ladakh,Leh,Khalsti,GeramanGu,1393027,panchayat ghar,mangu,2020-11-16 11:08:09.527,Transport/Admin,Panchayat Headquarter,34.233046666667,77.048838333333
Ladakh,Leh,Khalsti,GeramanGu,1393027,j&k bank,mangu,2020-11-16 11:10:25.730,Transport/Admin,Bank,34.233061666667,77.048885
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,ICICI Bank kargil,kargil,2020-10-15 23:39:43.970,Transport/Admin,Bank,34.558953333333,76.126215
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,Punjab National Bank (kargil),Kargil,2020-10-15 23:25:31.673,Transport/Admin,Bank,34.556463333333,76.126871666667
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,Poineer public high school kargil,kargil,2020-10-16 21:16:34.710,Education ,High School - General,34.558815,76.128095
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,Degree College kargil,Kargil,2020-10-16 21:24:25.750,Education ,Degree College,34.55623,76.131043333333
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,(jaffaria Academy modern)Higher  Secondary school kargil,kargil,2020-10-16 21:18:49.810,Education ,Higher Secondary School,34.53292,76.151933333333
