State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Manipur,Imphal East,Imphal East-I C.D.Block,Kameng,497159.0,Agro Industry,Kameng,2020-06-22 15:05:17.556996,Agro ,Agro Industry,24.864058333333,94.076891666667
Manipur,Imphal West,Imphal West-I C.D.Block,Kanglatombi,502775.0,Olivia higher secondary school,kanglatongbi,2020-07-20 11:55:06.450004,Education ,Higher Secondary School,24.97136756,93.88507032
Manipur,Imphal West,Imphal West-I C.D.Block,Kanglatombi,502775.0,market shed,kanglatongbi,2020-07-20 11:54:33.290003,Agro ,Mandi (Notified),24.9722537,93.88789103
Manipur,Imphal West,Imphal West-I C.D.Block,Kanglatombi,502775.0,Blessed brother academy,kanglatongbi,2020-07-20 11:55:21.897002,Education ,High School - General,24.97522798,93.8796812
Manipur,Imphal West,Imphal West-I C.D.Block,Kanglatombi,502775.0,high school,kanglatongbi,2020-07-20 11:54:50.133001,Education ,High School - General,24.97351984,93.88934269
Manipur,Imphal West,Imphal West-I C.D.Block,Kanglatombi,502775.0,bus stand,kanglatongbi,2020-07-18 12:11:43.297003,Transport/Admin,Bus Stand,24.97230585,93.88799339
Manipur,Imphal East,Jiribam C.D.Block,Narayanpur,761702.0,Narayanpur GP Office,Narayanpur Jakuradhor GP,2020-12-28 19:28:15.190000,Transport/Admin,Panchayat Headquarter,24.61187153,93.08481967
Manipur,Imphal East,Jiribam C.D.Block,Narayanpur,761702.0,Bharat Nirman Rajiv Gandhi Seva Kendra Building,Narayanpur Jakuradhor GP,2020-12-28 19:09:30.762999,Transport/Admin,Panchayat Headquarter,24.61187153,93.08481967
Manipur,Thoubal,Thoubal C.D.Block,Kshetri Leikai,590868.0,Khsetri Leikai Haotabi Waiting Shed,Khestri Leikai Haotabi,2020-07-14 07:41:29.157003,Transport/Admin,Bus Stand,24.648138333333,94.011861666667
Manipur,Thoubal,Thoubal C.D.Block,Kshetri Leikai,590868.0,Market Shed Khsetrileikai Mayai leikai,Khsetrileikai mayai leikai,2020-07-14 07:41:59.969999,Agro ,Mandi (Notified),24.64734,94.011258333333
Manipur,Thoubal,Thoubal C.D.Block,Kshetri Leikai,590868.0,Khsetri Leikai High School,Thoubal Kshetri leikai ,2020-07-14 07:44:17.270002,Education ,High School - General,24.647468333333,94.011108333333
Manipur,Churachandpur,Churachandpur T.D.Block,Phaihel,848672.0,Pack house,Phaihel,2020-12-25 19:47:58.200003,Agro ,Collection Centre or Pack House,24.30927732,93.68286505
Manipur,Churachandpur,Churachandpur T.D.Block,Phaihel,848672.0,Collection centre,Phaihel,2020-12-13 20:27:45.127002,Agro ,Collection Centre or Pack House,24.30927732,93.68286505
Manipur,Tamenglong,Tousem T.D.Block,Phellong,849493.0,Mandi,phellong,2021-02-21 03:55:02.132996,Agro ,Mandi (Notified),25.10562478099,93.447668720037
Manipur,Tamenglong,Tousem T.D.Block,Phellong,849493.0,Bus Stand,Phellong,2020-11-26 14:43:37.710002,Transport/Admin,Bus Stand,25.10464571121,93.44559336055
