State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Meghalaya,Ribhoi,Umling,Hynniangbarilum,429710.0,NIANGBARILUM COMMUNITY HALL,Niangbarilum,2020-03-25 18:57:44.217003,Transport/Admin,Panchayat Headquarter,25.99933619,91.85213062
Meghalaya,West Khasi Hills,Nongstoin,Mawrynniaw,430663.0,medical,Mawrynniaw,2020-06-16 19:23:20.200002,Medical ,Primary Health Centre,25.43697555,91.06475698
Meghalaya,West Khasi Hills,Nongstoin,Mawrynniaw,430663.0,school,Mawrynniaw,2020-06-16 16:08:59.962998,Education ,High School - General,25.44822141,91.03674089
Meghalaya,Ribhoi,Jirang,Pilangku A ,851466.0,Head panchayat,Pilangku A,2020-06-03 20:47:55.326998,Transport/Admin,Panchayat Headquarter,26.05220457,91.73810564
Meghalaya,Ribhoi,Umsning,Mawhati,689639.0,Mawhati Durbar Hall,"Mawhati, Ri Bhoi district, Meghalaya",2020-03-17 11:12:52.020000,Transport/Admin,Panchayat Headquarter,25.8170557,92.08601952
Meghalaya,Ribhoi,Umsning,Mawhati,689639.0,mawhati weekly market,mawhati,2020-06-11 06:45:09.747000,Agro ,Mandi (Notified),25.819548333333,92.085488333333
Meghalaya,Ribhoi,Umsning,Mawhati,689639.0,Meghalaya rural bank,"Mawhati, Ri Bhoi district, Meghalaya",2020-03-16 15:31:33.477004,Transport/Admin,Bank,25.81922367,92.08504317
Meghalaya,Ribhoi,Umsning,Mawhati,689639.0,Mawhati RC Secondary school,"Mawhati, Ri Bhoi secondary school",2020-03-17 11:12:42.370001,Education ,High School - General,25.81695133,92.08588175
Meghalaya,Ribhoi,Umsning,Mawhati,689639.0,mawhati collection centre,mawhati,2020-03-18 13:33:49.097005,Agro ,Collection Centre or Pack House,25.817193333333,92.084365
Meghalaya,West Khasi Hills,Mawthadraishan,Ranapbah,689690.0,Warehouse,Ranapbah,2020-06-17 22:45:40.979998,Agro ,Warehouse,25.60928654,91.37287229
Meghalaya,West Khasi Hills,Mawthadraishan,Ranapbah,689690.0,Dorbar  Hall,Ranapbah,2020-06-12 13:02:15.879995,Transport/Admin,Panchayat Headquarter,25.60645875,91.3700352
Meghalaya,West Khasi Hills,Mairang,Mawlieh,689737.0,primary health centre,mawlieh,2020-06-04 18:11:34.290001,Medical ,Primary Health Centre,25.607821666667,91.660023333333
Meghalaya,East Khasi Hills,Mawsynram,Mawynram Dongshilliang,689907.0,Dorbar Hall,Dongshilliang,2020-06-06 20:55:13.126996,Transport/Admin,Panchayat Headquarter,25.29899107,91.5797456
Meghalaya,South Garo Hills,Baghmara,Goka Wakchol,367138.0,Goka Wakchol School,Goka Wakchol,2020-05-07 20:17:35.713000,Education ,High School - General,25.253766666667,90.638956666667
Meghalaya,West Garo Hills,Dalu,BONDUKUSA,89744.0,Collection Centre,Bondukusa,2020-05-04 00:55:13.920004,Agro ,Collection Centre or Pack House,25.29865708,90.0193365
Meghalaya,Jaintia,Laskein,Barato,100104.0,BARATO PRIMARY HEALTH CENTRE,BARATO VILLAGE,2020-03-23 17:31:44.647001,Medical ,Primary Health Centre,25.60837003,92.44937237
Meghalaya,Jaintia,Laskein,Barato,100104.0,St Peter secondary school,BARATO VILLAGE,2020-03-23 17:29:43.190002,Education ,High School - General,25.60359794,92.46040281
Meghalaya,Jaintia,Laskein,Barato,100104.0,BARATO PRESBYTERIAN SECONDARY SCHOOL,BARATO VILLAGE,2020-03-23 17:30:33.689998,Education ,High School - General,25.60561139,92.44871991
Meghalaya,Jaintia,Laskein,Barato,100104.0,RMSA SECONBARY SCHOOL,BARATO VILLAGE,2020-03-23 17:31:12.507004,Education ,High School - General,25.60544006,92.45289472
Meghalaya,Jaintia,Laskein,Barato,100104.0,Barato Veterinary,Barato village,2020-03-23 17:32:21.920004,Medical ,Veterinary Hospital,25.60478708,92.4443642
Meghalaya,West Garo Hills,Dalu,BARONGPARA,107060.0,Barongpara Collection Centre ,Barongpara ,2020-04-29 18:33:59.173004,Agro ,Collection Centre or Pack House,25.265845514183,90.169234000511
Meghalaya,West Garo Hills,Dalu,BARONGPARA,107060.0,Barongpara Bus Stand ,Barongpara ,2020-04-29 18:33:25.307004,Transport/Admin,Bus Stand,25.262956551553,90.174525977841
Meghalaya,West Garo Hills,Dalu,BARONGPARA,107060.0,Barongpara High School ,Barongpara ,2020-04-29 18:31:34.737001,Education ,High School - General,25.262085876855,90.17695479768
Meghalaya,East Garo Hills,Kharkutta,Ildek Akong,431057.0,Weekly Market,Ildek Akong,2020-05-02 12:19:51.530002,Agro ,Mandi (Notified),25.83009853,90.96660832
Meghalaya,East Garo Hills,Kharkutta,Ildek Akong,431057.0,SUB CENTRE Ildek Akong,Ildek Akong,2020-05-02 11:55:33.990004,Medical ,Bedded Hospital,25.82993041,90.96647129
Meghalaya,West Garo Hills,Betasing,Bolsalgre,173846.0,Bolsalgre village ,Bolsalgre,2020-03-17 15:33:43.786996,Agro ,Is Part of Rurban Cluster?,25.48838647,89.9399689
Meghalaya,West Garo Hills,Betasing,Bolsalgre,173846.0,Ampati Civil Hospital ,Bolsalgre Ampati ,2020-02-25 15:24:18.737001,Medical ,Bedded Hospital,25.494475528409,89.94260650136
Meghalaya,Jaintia,Amlarem,Jarain,454682.0,Amwi Jarian Secondary School,Jarain,2020-03-25 10:21:03.433001,Education ,High School - General,25.320835,92.130356666667
Meghalaya,Jaintia,Amlarem,Jarain,454682.0,Jarain PHC,Jarain,2020-03-25 10:29:19.209999,Medical ,Primary Health Centre,25.320835,92.133356666667
Meghalaya,Jaintia,Amlarem,Jarain,454682.0,Jarain Community Hall,Jarain,2020-03-25 10:08:43.587001,Transport/Admin,Panchayat Headquarter,25.321258333333,92.131945
Meghalaya,Ribhoi,Umsning,Mawbri,689615.0,Little Flower Higher Secondary School,Mawbri,2020-06-11 15:28:01.349996,Education ,High School - General,25.730355,92.049751666667
Meghalaya,Ribhoi,Umsning,Mawbri,689615.0,Community Hall,Mawbri,2020-06-11 15:28:41.062996,Transport/Admin,Panchayat Headquarter,25.731383333333,92.052935
Meghalaya,West Khasi Hills,Mawthadraishan,Mawkhanwahkwang,689683.0,Mawkhan Wahkwang Dorbar hall ,Mawkhan Wahkwang ,2020-05-28 15:22:47.623000,Transport/Admin,Panchayat Headquarter,25.453905,91.44488
Meghalaya,Ribhoi,Umsning,Mawrathud,689819.0,Mawrathud dorbar hall,"Mawrathud, Ri Bhoi district, Meghalaya",2020-03-31 15:48:42.026996,Transport/Admin,Panchayat Headquarter,25.80817627,92.11981276
