State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Mizoram,Lunglei,Hnahthial,Hnahthial,424384,District Hospital,Hnahthial,2020-06-08 16:20:38.317,Medical ,Bedded Hospital,22.9629381,92.9295924
Mizoram,Lunglei,Hnahthial,Hnahthial,424384,mizoram Rural Bank,Hnahthial,2020-06-08 17:44:41.720,Transport/Admin,Bank,22.96687121,92.92649653
Mizoram,Lunglei,Hnahthial,Hnahthial,424384,Deputy commissioner office,Hnahthial,2020-06-08 17:05:58.860,Transport/Admin,Block Headquarter,22.96659412,92.92719462
Mizoram,Lunglei,Hnahthial,Hnahthial,424384,Superintendent of Police officer,Hnahthial,2020-06-08 17:47:32.600,Transport/Admin,Block Headquarter,22.96563899,92.92715984
Mizoram,Lunglei,Hnahthial,Hnahthial,424384,supply go down,Hnahthial,2020-06-08 17:13:27.643,Agro ,Collection Centre or Pack House,22.97764861,92.92278206
Mizoram,Lunglei,Hnahthial,Hnahthial,424384,furniture workshop,Hnahthial,2020-06-08 18:02:30.557,Agro ,Agro Industry,22.95934786,92.93029676
Mizoram,Lunglei,Hnahthial,Hnahthial,424384,Block Development officer office,Hnahthial,2020-06-08 18:31:20.077,Transport/Admin,Block Headquarter,22.9585245,92.9308407
Mizoram,Lunglei,Hnahthial,Hnahthial,424384,fuel station,electric veng,2020-06-05 17:26:07.427,Transport/Admin,Fuel Station,22.97746481,92.92359928
Mizoram,Lunglei,Hnahthial,Hnahthial,424384,vetynary hospital,Hnahthial,2020-06-08 17:22:40.327,Medical ,Veterinary Hospital,22.975952625275,92.924273014069
Mizoram,Lunglei,Hnahthial,Hnahthial,424384,power station,Hnahthial,2020-06-08 17:30:45.677,Agro ,Mandi (Notified),22.974252104759,92.926386594772
Mizoram,Lunglei,Hnahthial,Hnahthial,424384,Degree colledge,Hnahthial,2020-06-08 17:33:34.793,Education ,Degree College,22.98042941,92.92792074
Mizoram,Lunglei,Hnahthial,Hnahthial,424384,super market,Hnahthial,2020-06-08 16:32:34.227,Agro ,Collection Centre or Pack House,22.9664421,92.9269749
Mizoram,Lunglei,Hnahthial,Hnahthial,424384,state Bank of India,Hnahthial,2020-06-08 17:37:12.453,Transport/Admin,Bank,22.968367338181,92.925635576248
Mizoram,Serchhip,Serchhip,Hringtlang,427259,Village Council Court,Hriangtlang,2020-06-05 07:44:40.920,Transport/Admin,Panchayat Headquarter,23.28237447,92.92798681
Mizoram,Serchhip,Serchhip,Hringtlang,427259,Bazaar Shed,Hriangtlang,2020-06-05 07:38:00.153,Agro ,GRaM (Notified),23.28261778,92.92789374
Mizoram,Serchhip,Serchhip,Hringtlang,427259,Sub Center,Hriangtlang,2020-06-05 07:46:07.740,Medical ,Primary Health Centre,23.28165639,92.92801699
Mizoram,Serchhip,Serchhip,Hringtlang,427259,Hriangtlang High School,Hriangtlang,2020-06-05 07:39:12.797,Education ,High School - General,23.28234497,92.92789228
Mizoram,Lunglei,Bunghmun,Mar  S,678765,High School,Mar S,2020-06-09 13:09:16.280,Education ,High School - General,23.259043333333,92.413561666667
Mizoram,Lawngtlai,Chawngte,Devasora  N,263862,Devadora N Comph. Middle School,Dvasora N,2020-06-07 14:10:58.083,Education ,High School - General,22.34762421,92.63060883
Mizoram,Lawngtlai,Chawngte,Devasora  N,263862,Community Hall,Devasora N,2020-06-07 14:10:20.100,Education ,High School - General,22.34620838,92.63193122
Mizoram,Kolasib,Thingdawl,Bukvannei,185114,Bus stand,Bukvannei,2020-06-10 07:55:15.200,Transport/Admin,Bus Stand,24.29392737146,92.639696999982
Mizoram,Kolasib,Thingdawl,Bukvannei,185114,Panchayati Headquarter,Bukvannei,2020-06-10 07:56:15.753,Transport/Admin,Panchayat Headquarter,24.293749235246,92.637545384257
Mizoram,Kolasib,Thingdawl,Bukvannei,185114,Oil Palm processing plant,Bukvannei,2020-06-10 16:15:36.477,Agro ,Agro Industry,24.303335870886,92.638520225787
Mizoram,Champhai,Khawzawl,Champhai III,199218,Secondary School,Hruaikawn,2020-06-03 09:44:47.317,Education ,Higher Secondary School,23.349233333333,93.345306666667
Mizoram,Mamit,W.Phaileng,Marpara North,681955,Mizoram Rural Bank,Marpara Mizo veng,2020-06-13 10:25:55.740,Transport/Admin,Bank,23.264391666667,92.418278333333
Mizoram,Mamit,W.Phaileng,Marpara North,681955,Government Marpara High School,Marpara Mizo veng,2020-06-13 10:26:38.410,Education ,High School - General,23.267061666667,92.41074
Mizoram,Mamit,W.Phaileng,Marpara North,681955,Godown,"Leikai, Marpara Mizo veng",2020-06-13 10:25:35.097,Agro ,Collection Centre or Pack House,23.265533333333,92.423521666667
Mizoram,Mamit,W.Phaileng,Marpara North,681955,Health Sub Centre,Marpara Mizo veng,2020-06-13 10:26:26.280,Medical ,Community Health Centre,23.265373333333,92.41421
Mizoram,Mamit,W.Phaileng,Marpara North,681955,Bazar Shed,Marpara Mizo veng,2020-06-13 10:25:40.897,Agro ,Mandi (Notified),23.264411666667,92.418176666667
Mizoram,Mamit,W.Phaileng,Marpara North,681955,Maxi Cab Stand,Marpara Mizo veng,2020-06-13 10:26:03.223,Transport/Admin,Bus Stand,23.26456,92.417328333333
Mizoram,Mamit,W.Phaileng,Marpara North,681955,VC House,Marpara Mizo veng,2020-06-13 10:25:49.240,Transport/Admin,Panchayat Headquarter,23.26436,92.418291666667
Mizoram,Mamit,W.Phaileng,Marpara North,681955,Primary Health Centre,Marpara Mizo veng,2020-06-13 10:26:21.370,Medical ,Primary Health Centre,23.265351666667,92.414213333333
Mizoram,Saiha,Sangau,Siachangkawn,987791,RMSA high school,Siachangkawn,2020-06-02 20:44:59.080,Education ,High School - General,22.60440702,93.02418728
Mizoram,Saiha,Sangau,Siachangkawn,987791,bus stand,Siachangkawn,2020-06-02 20:44:33.970,Transport/Admin,Bus Stand,22.600078582764,93.026277422905
Mizoram,Champhai,Ngopa,Kawlbem,528667,Higher Secondary School,Kawlbem,2020-06-11 10:33:12.740,Education ,Higher Secondary School,23.871241807938,93.309910297394
Mizoram,Champhai,Ngopa,Kawlbem,528667,Supply Godown,Kawlbem,2020-06-11 10:32:42.340,Agro ,Warehouse,23.872416615486,93.308054208756
Mizoram,Champhai,Ngopa,Kawlbem,528667,Health Sub Centre,Kawlbem,2020-06-11 10:26:29.570,Medical ,Primary Health Centre,23.87240742,93.30801252
Mizoram,Champhai,Khawzawl,Kawlkulh,528676,Primary  Health Centre,Kawlkulh,2020-06-11 14:47:58.933,Medical ,Primary Health Centre,23.624403476715,93.084186315537
Mizoram,Champhai,Khawzawl,Kawlkulh,528676,Godown. F&CI,Kawlkulh,2020-06-11 14:50:03.813,Agro ,Warehouse,23.61102917,93.08458933
Mizoram,Champhai,Khawzawl,Kawlkulh,528676,Higher Secondary School,Kawlkulh,2020-06-11 14:49:25.033,Education ,Higher Secondary School,23.61486017704,93.086820244789
