State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Nagaland,Tuensang,Longkhim,Anganba,38734,Mandi,Anganba,2020-07-06 12:13:13.127,Agro ,Mandi (Notified),26.21462048,94.69383115
Nagaland,Tuensang,Longkhim,Anganba,38734,PHC,Angangba,2020-07-06 13:25:34.940,Medical ,Primary Health Centre,26.21534854,94.69479345
Nagaland,Tuensang,Longkhim,Anganba,38734,Anganba Village Council,Anganba,2020-07-06 13:25:21.800,Transport/Admin,Panchayat Headquarter,26.21882259,94.69784978
Nagaland,Tuensang,Longkhim,Anganba,38734,Christ King School,Anganba,2020-07-06 13:25:08.643,Education ,High School - General,26.21500732,94.69402867
Nagaland,Dimapur,Medziphema,Aoyimkum,42367,bus stand,Aoyimkum,2020-07-06 10:59:02.227,Transport/Admin,Bus Stand,25.885386666666,93.69587
Nagaland,Dimapur,Medziphema,Aoyimkum,42367,mandi,Aoyimkum,,Agro ,Mandi (Notified),,
Nagaland,Dimapur,Medziphema,Aoyimkum,42367,Aoyimkum vill council,Aoyimkum,2020-07-06 10:59:38.600,Transport/Admin,Panchayat Headquarter,25.884746666666,93.692053333333
Nagaland,Zunheboto,Zunheboto,Asukhomi,50298,Asuloto High School,Asukho Village,2020-06-29 14:03:19.967,Education ,High School - General,26.07824112,94.5424247
Nagaland,Zunheboto,Zunheboto,Asukhomi,50298,Primary Health Centre,Asukho Village,2020-06-29 14:02:59.043,Medical ,Primary Health Centre,26.07620538,94.5413394
Nagaland,Zunheboto,Zunheboto,Asukhomi,50298,Asukhomi Village Council,Asukhomi,2020-06-29 14:01:57.547,Transport/Admin,Panchayat Headquarter,26.07602209,94.53945775
Nagaland,Zunheboto,Zunheboto,Asukhomi,50298,Mandi,Asukhomi,2020-06-29 14:01:10.593,Agro ,Mandi (Notified),26.07594385,94.53965646
Nagaland,Zunheboto,Zunheboto,Asukhomi,50298,Bus Stand,Asukhomi,2020-06-29 14:02:22.560,Transport/Admin,Bus Stand,26.07619977,94.53932706
Nagaland,Zunheboto,Ghathashi,Mukalimi,722040,Village Council,Mukalimi,2020-08-12 10:21:34.520,Transport/Admin,Panchayat Headquarter,25.87211663369,94.340736698359
Nagaland,Zunheboto,Ghathashi,Mukalimi,722040,Mandi,Mukalimi,2020-08-12 10:07:28.880,Agro ,Mandi (Notified),25.875386665575,94.341400964185
Nagaland,Dimapur,Medziphema,Diphupar B,303892,GHS,Diphupar B,2020-07-01 17:09:42.043,Education ,High School - General,25.85725,93.759966666666
Nagaland,Dimapur,Medziphema,Diphupar B,303892,Daeshin acedamy,Diphupar B,2020-07-01 15:24:02.843,Education ,Higher Secondary School,25.852388333333,93.752396666666
Nagaland,Dimapur,Medziphema,Diphupar B,303892,mandi,Diphupar B,2020-07-01 15:05:02.707,Agro ,Mandi (Notified),25.853115,93.752838333333
Nagaland,Dimapur,Medziphema,Diphupar B,303892,Diphupar B vill council,Diphupar B,2020-07-01 16:54:19.983,Transport/Admin,Panchayat Headquarter,25.853415,93.752791666666
Nagaland,Dimapur,Medziphema,Diphupar B,303892,St john school,Diphupar B,2020-07-01 17:14:08.590,Education ,High School - General,25.857675,93.760456666666
Nagaland,Dimapur,Medziphema,Diphupar B,303892,kemnbay school,Diphupar B,2020-07-01 16:55:03.857,Education ,High School - General,25.85336,93.753406666666
Nagaland,Phek,Sekruzu,Dzulhami,320365,Village Council,Dzulhami,2020-07-24 09:35:57.417,Transport/Admin,Panchayat Headquarter,25.82666602,94.39416455
Nagaland,Phek,Sekruzu,Dzulhami,320365,pack house,Dzulhumi,2020-07-24 09:37:44.097,Agro ,Collection Centre or Pack House,25.8270297,94.39377375
Nagaland,Phek,Sekruzu,Dzulhami,320365,Mandi,Dzulhami,2020-07-24 09:38:22.053,Agro ,Mandi (Notified),25.82750091,94.39585438
Nagaland,Phek,Sekruzu,Dzulhami,320365,PHC,Dzulhami,2020-07-24 09:35:19.617,Medical ,Primary Health Centre,25.82567145,94.390042
