State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Panchayat office,Ariyankuppam,2021-08-05 11:52:42.520,Transport/Admin,Panchayat Headquarter,11.89496,79.801778333333
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Indian oil,Nonankuppam,2021-08-05 12:05:18.140,Transport/Admin,Fuel Station,11.885816666667,79.800593333333
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Motherland English high school,Ariyankuppam,2021-08-05 11:56:55.573,Education ,High School - General,11.895643333333,79.801298333333
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Govt. High school,Ariyankuppam,2021-08-05 11:30:15.893,Education ,High School - General,11.895525,79.804705
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Govt. Higher secondary school,Nonankuppam,2021-08-05 11:58:59.810,Education ,Higher Secondary School,11.88492,79.795396666667
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Govt.Higher secondary school,Nonankuppam,2021-08-05 12:07:10.513,Education ,Higher Secondary School,11.886225,79.800575
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Govt. Primary school,Arunthathipuram,2021-08-05 11:54:32.617,Education ,High School - General,11.89895,79.79833
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Health sub centre,Nonankuppam,2021-08-05 12:00:40.463,Medical ,Primary Health Centre,11.88521,79.798841666667
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,Sai krish agency,Embalam,2021-08-27 12:43:13.047,Transport/Admin,Fuel Station,11.866331666667,79.71722
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,SS agency,Embalam,2021-08-27 12:42:32.293,Transport/Admin,Fuel Station,11.86652,79.719021666667
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,Govt primary school,Embalam,2021-08-27 12:33:47.580,Education ,High School - General,11.872856666667,79.713581666667
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,PLF office,Embalam,2021-08-27 12:30:56.623,Transport/Admin,Panchayat Headquarter,11.866588333333,79.712943333333
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,milk collection centre,Embalam,2021-08-27 12:35:11.847,Agro ,Collection Centre or Pack House,11.872926666667,79.713548333333
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,Grama panchayat office,Embalam,2021-08-27 12:32:57.657,Transport/Admin,Panchayat Headquarter,11.866681666667,79.712673333333
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,IOB bank,Embalam,2021-08-27 12:32:06.390,Transport/Admin,Bank,11.866591666667,79.71271
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,maraimalaiadigal Govt.HR.SEC school,Embalam,2021-08-27 12:18:43.777,Education ,Higher Secondary School,11.86677,79.712926666667
Pondicherry,Puducherry,Villianur,Kothapurinatham,1388359,HP petrol bunk,kothapurinatham,2021-08-12 15:36:40.707,Transport/Admin,Fuel Station,11.92783166,79.66274016
Pondicherry,Puducherry,Villianur,Kothapurinatham,1388359,Government High School,kothapurinatham,2021-08-12 15:35:46.547,Education ,High School - General,11.93537429,79.66842097
Pondicherry,Puducherry,Villianur,Sellipet,1388410,Indian oil petrol bunk,Sellipet,2021-08-11 15:26:53.257,Transport/Admin,Fuel Station,11.95190617,79.69952293
Pondicherry,Puducherry,Villianur,Sellipet,1388410,Government High School,Sellipet,2021-08-11 15:29:17.200,Education ,High School - General,11.95707549,79.69607876
Pondicherry,Puducherry,Villianur,Sellipet,1388410,Puduvai Bharathiyar Grama Bank,Sellipet,2021-08-11 15:25:52.833,Transport/Admin,Bank,11.95462786,79.69262134
Pondicherry,Puducherry,Villianur,Sellipet,1388410,veternary hospital,sallipet,2021-08-11 15:28:03.523,Medical ,Veterinary Hospital,11.95654291,79.69748668
Pondicherry,Karaikal,karaikal,Vadakattalai,1388764,Sub center (Nedungadu  Vadakattalai),vadakattalai  ponpethy,2021-08-17 21:02:49.940,Medical ,Primary Health Centre,10.99092115,79.77615692
Pondicherry,Puducherry,Ariankuppam,Karaiyamputhr,1388246,SS Agency HP Fuel station,Karaiyamputhur,2021-08-23 12:32:44.133,Transport/Admin,Fuel Station,11.820623333333,79.649576666667
Pondicherry,Puducherry,Ariankuppam,Karaiyamputhr,1388246,Primary health centre,karaiyamputhur,2021-08-23 12:44:17.553,Medical ,Primary Health Centre,11.822956666667,79.647263333333
Pondicherry,Puducherry,Ariankuppam,Karaiyamputhr,1388246,Govt higher secantary school,karaiyamputhu,2021-08-23 12:40:10.453,Education ,Higher Secondary School,11.821078333333,79.65027
Pondicherry,Puducherry,Ariankuppam,Karaiyamputhr,1388246,Govt higher secondary school,karaiyamputhu,2021-08-23 12:43:28.757,Education ,Higher Secondary School,11.821078333333,79.65027
Pondicherry,Puducherry,Ariankuppam,Karaiyamputhr,1388246,Govt.primary school,karaiyamputhur,2021-08-23 12:29:19.110,Education ,High School - General,11.820715,79.649
