State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Sikkim,South,Ravongla,Subuk,1012490,bus stand,subuk,2020-06-02 16:26:42.790,Transport/Admin,Bus Stand,27.231801263988,88.306730501354
Sikkim,East,Pakyong,Nupgaon,1113364,state bank of india,NupGaon Pakyong E Sikkim,2020-06-06 15:53:27.840,Transport/Admin,Bank,27.24343,88.599308333333
Sikkim,West Sikkim,Gyalshing,U thingling i,1113585,Village Administraion Center,Khechuperi Thingling,2020-06-26 08:19:34.600,Transport/Admin,Panchayat Headquarter,27.34137045,88.20221927
Sikkim,West Sikkim,Gyalshing,U thingling i,1113585,Govt. SR SEC SCHOOL Khechuperi,upper Thingling,2020-06-26 08:18:40.207,Education ,Higher Secondary School,27.34079626,88.20860529
Sikkim,West Sikkim,Gyalshing,U thingling i,1113585,Milk Collection Center,Upper Thingling,2020-06-26 08:18:54.687,Agro ,Collection Centre or Pack House,27.34076454,88.2089834
Sikkim,East,Gangtok,TADONG BAZAAR.,1113783,Shri Ramasamy memorial University Sikkim science block,Tadong bazar Gangtok,2020-06-20 16:20:44.210,Education ,Degree College,27.333031,88.6146301
Sikkim,East,Gangtok,TADONG BAZAAR.,1113783,government sr sec school Tadong,Tadong bazar Gangtok,2020-06-20 16:20:25.760,Education ,Higher Secondary School,27.333031,88.6146301
Sikkim,West Sikkim,Soreng,Timberbong Sarangtar ,1113834,Village Administrative Centre Timberbong,Timburbung Sarangtar,2020-06-26 13:13:07.677,Transport/Admin,Panchayat Headquarter,27.15949396,88.18555138
Sikkim,West Sikkim,Soreng,Timberbong Sarangtar ,1113834,Milk Producer Co Operative Society Ltd.,Timberbong,2020-06-24 17:31:49.287,Agro ,Collection Centre or Pack House,27.15889936,88.18137822
Sikkim,East,Rongli,Adhikari Gaon Rungdong,1114034,Government College Rhenock,Rhenock,2020-06-04 11:40:47.383,Education ,Degree College,27.183723333333,88.635613333333
Sikkim,East,Rongli,Adhikari Gaon Rungdong,1114034,Gram Prashasan Kendra,Rhenock,2020-06-04 11:39:02.133,Transport/Admin,Panchayat Headquarter,27.178366666667,88.643838333333
Sikkim,East,Rongli,Adhikari Gaon Rungdong,1114034,office of horticulture inspector,Rhenock,2020-06-04 12:11:41.977,Agro ,Collection Centre or Pack House,27.182403333333,88.641838333333
Sikkim,East,Rongli,Adhikari Gaon Rungdong,1114034,HP Gas,Adhikari gaon Rungdung,2021-04-13 15:47:18.133,Transport/Admin,Fuel Station,27.18178791,88.64131948
Sikkim,East,Rongli,Adhikari Gaon Rungdong,1114034,veterinary hospital,Rhenock,2020-06-04 11:43:19.180,Medical ,Veterinary Hospital,27.180908333333,88.639985
Sikkim,South,Namchi,U Phong,1114134,"Govt.Secondary School, Phong",Upper Phong,2020-06-11 17:26:55.810,Education ,High School - General,27.173955,88.451778333333
Sikkim,East,Rongli,Khasey Lakha,1114183,"Milk Collection centre Arubotay, Thokar",Rolep Khesaylakha,2020-07-06 06:25:39.850,Agro ,Collection Centre or Pack House,27.25502098,88.71850188
Sikkim,East,Rongli,Khasey Lakha,1114183,Sedrup Lekshaling Gonpa,"arubotay, kewni",2020-07-03 17:16:51.010,Education ,Higher Secondary School,27.25543589,88.71834167
